kundennummer;firma;datum;art;netto;brutto;quelle
10044;Fred SchrÃ¶der UG (haftungsbeschrÃ¤nkt);2023-01-16;INVOICE;1260.0;1499.4;lexoffice_alt
10327;SolarConfirm e.K.;2023-01-30;INVOICE;8629.9;10225.9;lexoffice_alt
10327;SolarConfirm e.K.;2023-01-30;INVOICE;10225.9;10225.9;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2023-02-04;INVOICE;1800.0;2142.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2023-02-04;INVOICE;1500.0;1785.0;lexoffice_alt
10317;EdelhÃ¤user Gartengestaltung;2023-02-15;INVOICE;8400.0;9996.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-02-27;INVOICE;9000.0;10710.0;lexoffice_alt
10257;Haustechnik Francke GmbH;2023-03-03;INVOICE;1500.0;1785.0;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2023-03-03;INVOICE;1800.0;2142.0;lexoffice_alt
10044;Fred SchrÃ¶der UG (haftungsbeschrÃ¤nkt);2023-03-06;INVOICE;600.0;714.0;lexoffice_alt
10008;TBO Treuhand â Beratung â Organisation GmbH WirtschaftsÂ­prÃ¼fungsÂ­gesellschaft & TBO GbR;2023-03-14;INVOICE;5173.76;6156.77;lexoffice_alt
10352;Consense GmbH;2023-03-15;INVOICE;10200.0;12138.0;lexoffice_alt
10354;LAREMO GmbH;2023-03-16;INVOICE;5700.0;6783.0;lexoffice_alt
10357;Landmaschinen- u. Kfz-Handel Starkenberg GmbH;2023-03-24;INVOICE;11400.0;13566.0;lexoffice_alt
10150;A. Frantzen & Sohn GmbH;2023-03-28;INVOICE;2400.0;2856.0;lexoffice_alt
10210;WÃ¤chtler Elektrik GmbH;2023-04-05;INVOICE;1800.0;2142.0;lexoffice_alt
10266;ProVia Automation GmbH;2023-04-05;INVOICE;5900.0;7021.0;lexoffice_alt
10307;Erik Schneider Bedachungen;2023-04-12;INVOICE;966.96;1150.68;lexoffice_alt
10370;Klimawerkstatt GmbH;2023-04-24;INVOICE;11875.0;14131.25;lexoffice_alt
10137;Feucht Obsttechnik GmbH;2023-05-05;INVOICE;8800.0;10472.0;lexoffice_alt
10283;Galante Facility Management und Maintenance GmbH;2023-05-07;INVOICE;3250.0;3867.5;lexoffice_alt
10379;Autohaus Schulze GmbH;2023-05-08;INVOICE;6700.0;7973.0;lexoffice_alt
10128;SchÃ¼ber Bad;2023-05-09;INVOICE;5500.0;6545.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-05-11;INVOICE;435.38;518.1;lexoffice_alt
10390;Neuefeind Haustechnik GmbH;2023-05-22;INVOICE;6080.0;7235.2;lexoffice_alt
10294;videte ITÂ® project GmbH;2023-05-23;INVOICE;1500.0;1785.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-05-24;INVOICE;643.47;765.73;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-06-06;INVOICE;390.64;464.86;lexoffice_alt
10395;HKS PrÃ¼fservice GmbH;2023-06-14;INVOICE;3000.0;3570.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-06-14;INVOICE;1000.0;1190.0;lexoffice_alt
10294;videte ITÂ® project GmbH;2023-06-14;INVOICE;3100.0;3689.0;lexoffice_alt
10396;eltracon GmbH;2023-06-20;INVOICE;6120.0;7282.8;lexoffice_alt
10397;JUMBOmanagement GbR;2023-06-27;INVOICE;7030.000000000001;8365.7;lexoffice_alt
10398;BÃ¤derstudio ÃhlenschlÃ¤ger fÃ¼r Ihr Traumbad GmbH;2023-06-27;INVOICE;6000.0;7140.0;lexoffice_alt
10268;Schmitz Sonnenschutztechnik;2023-06-29;INVOICE;4500.0;5355.0;lexoffice_alt
10401;Jaga Deutschland GmbH;2023-07-03;INVOICE;7600.0;9044.0;lexoffice_alt
10134;Fischer-J.W. Zander GmbH &amp Co.KG;2023-07-04;INVOICE;6400.0;7616.0;lexoffice_alt
10357;Landmaschinen- u. Kfz-Handel Starkenberg GmbH;2023-07-05;INVOICE;1800.0;2142.0;lexoffice_alt
10059;Zickermann GmbH bad & heizung;2023-07-07;INVOICE;5180.0;6164.2;lexoffice_alt
10391;ReindersArchitekten BDA;2023-07-07;INVOICE;6400.0;7616.0;lexoffice_alt
10331;Schloz WÃ¶llenstein GmbH & Co. KG;2023-07-10;INVOICE;8400.0;9996.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-07-14;INVOICE;732.66;871.87;lexoffice_alt
10162;Elektro Reber GmbH;2023-07-20;INVOICE;5880.0;6997.2;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-07-21;INVOICE;536.74;638.72;lexoffice_alt
10403;PPL - Physiotherapie und PrÃ¤ventionszentrum Lichtenau;2023-07-24;INVOICE;7200.0;8568.0;lexoffice_alt
10402;Manfred Kries GmbH;2023-07-24;INVOICE;7200.0;8568.0;lexoffice_alt
10390;Neuefeind Haustechnik GmbH;2023-07-24;INVOICE;1400.0;1666.0;lexoffice_alt
10253;Permaton Wpc Grassau GmbH;2023-07-25;INVOICE;8280.0;9853.2;lexoffice_alt
10395;HKS PrÃ¼fservice GmbH;2023-07-26;INVOICE;3000.0;3570.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-08-01;INVOICE;1026.76;1221.84;lexoffice_alt
10384;TIP Trailer Services Germany GmbH;2023-08-07;INVOICE;6237.5;7422.63;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-08-07;INVOICE;1000.0;1190.0;lexoffice_alt
10405;Herr Dr. med. Karlheinz HÃ¼ttel;2023-08-07;INVOICE;4800.0;5712.0;lexoffice_alt
10294;videte ITÂ® project GmbH;2023-08-09;INVOICE;1600.0;1904.0;lexoffice_alt
10347;GPLUSK Elektrotechnik GmbH;2023-08-11;INVOICE;438.65999999999997;522.01;lexoffice_alt
